 Location:  0N 110W   8 Mar 1980 to 18 Nov 2020 ( 2972 times, 18 blocks) Gen. Date Apr 20 2021
 Units: Sea Surface Temperature (C), -9.99 = missing
YYYY_MM_DD HHMM SST QUALITY
1993_12_23 1200 23.66 2
1993_12_28 1200 23.45 2
1994_01_02 1200 23.64 2
1994_01_07 1200 24.17 2
1994_01_12 1200 23.93 2
1994_01_17 1200 23.99 2
1994_01_22 1200 23.95 2
1994_01_27 1200 23.72 2
1994_02_01 1200 24.69 2
1994_02_06 1200 25.17 2
1994_02_11 1200 24.43 2
1994_02_16 1200 24.43 2
1994_02_21 1200 24.41 2
1994_02_26 1200 25.02 2
1994_03_03 1200 26.32 2
1994_03_08 1200 26.72 2
1994_03_13 1200 25.45 2
1994_03_18 1200 25.41 2
1994_03_23 1200 24.54 2
1994_03_28 1200 24.9 2
1994_04_02 1200 24.46 2
1994_04_07 1200 24.79 2
